Site,Level,Area,LOT,,ID,RawMaterial,ChertType,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes
LP,U,,,C8,368,Chert,,,Blank,,,,1-30%,LeftLateral,Indeterminate,Crushed,No,No,Divergent,Triangular,Step,Curved,5,Centripetal,10.12,28.91,13.52,22.88,28.72,32.41,4.02,10.66,0,9.2,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Fire,Burned,Yes,,0,
LP,U,,,A8,852,Quartz,,Fine,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Parallel,Quadrangular,Hinge,Straight,3,Unidirectional,13.38,18.33,13.17,18.18,14.24,37.67,7.94,13.51,105.6,11.5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,Splintered piece,0,
LP,U,,,ZZ11,918,Chert,,,Chip,,,,,,,,No,No,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,,,1,
LP,U,,,C5,854,Quartz,,RockCrystal,Chip,,,,,,,,No,No,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,,,1,
LP,U,,,B6,1116,Quartz,,Fine,Blank,,,,0%,,,Crushed,No,No,Parallel,Triangular,Feather,Twisted,2,Unidirectional,2.83,7.89,7.6,7.92,7.1,14.46,2.28,5.43,88.4,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,U,,,A6,335,Chert,,,Blank,,,,0%,,,Plain,No,No,Parallel,Triangular,Feather,Straight,2,Unidirectional,1.35,4.83,4.29,5.06,2.8,22.61,1.51,4.66,91.9,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
LP,U,,,A7,412,Quartz,,RockCrystal,BlankFrag,,,Distal,0%,,,,No,No,,Triangular,Feather,,2,,1.12,4.8,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,U,,,B6,1078,Quartz,,Fine,BlankFrag,,,Distal,0%,,,,No,No,,Triangular,Step,,2,,1.94,5.2,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,U,,,B6,1078,Chert,,,Blank,,,,0%,,,Winged,No,No,Parallel,Triangular,Step,Straight,2,Unidirectional,1.92,6.54,5.66,6.39,5.76,11.26,1.73,5.4,0,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,U,,,B6,1078,Quartz,,Fine,Chip,,,,,,,,No,No,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,,,2,
